trans_date,trans_month,trans_year,category,upi_number,transaction_amount,state,zip code,fraud
15,3,2020,23,3697160148,10822.84,22,66830,0
30,11,2024,9,3700146405,5630.31,24,84640,0
30,2,2024,15,6977463284,13059.47,43,62509,0
15,12,2022,15,3294553705,10984.4,24,76406,1
30,1,2023,21,5024880299,9750.93,24,49519,1
19,6,2021,9,1707909963,11963.98,46,59649,0
12,12,2023,24,7494610338,11334.94,23,44524,1
23,5,2022,12,3869760393,635.49,48,43885,0
20,11,2022,5,9549642067,5981.54,15,54369,0
25,9,2022,11,4228945488,13969.03,21,40676,0
3,1,2020,8,7963649567,1973.29,34,74093,0
5,7,2023,12,8498553913,11082.74,38,57764,1
19,5,2023,3,2723906282,14621.42,14,60799,1
7,5,2024,23,3803643199,877.76,22,89414,0
21,2,2024,10,6016208777,10264.69,42,82307,1
9,11,2024,19,8260353829,7075.5,27,92062,1
7,3,2022,17,3327912272,8729.71,54,41923,0
18,7,2023,10,6533901116,1371.59,19,88388,1
4,6,2022,24,9606016933,740.8,35,57574,0
25,12,2020,20,9764314126,10036.31,22,53391,0
28,2,2024,3,2884236853,12367.31,49,63664,0
14,6,2022,17,4258779298,11752.03,38,77384,0
18,2,2022,0,1567011230,8202.71,27,41027,1
26,2,2020,6,6961267555,1588.02,57,45464,0
9,2,2021,5,7708423090,10351.86,43,44485,1
26,11,2023,14,3982825839,3704.14,17,29456,0
21,3,2021,17,1766191918,13674.92,38,84795,0
2,2,2024,23,5219845871,12590.15,22,45554,1
20,4,2022,10,8303822049,10669.81,49,56922,0
28,9,2020,19,3033805555,14237.8,36,23409,1
15,6,2020,23,7006930198,568.19,18,79327,1
28,1,2023,14,3340884702,11069.39,27,46639,0
7,8,2021,15,1122117585,5020.62,35,73627,0
12,12,2023,6,4305359930,13600.38,46,93424,0
29,7,2022,20,1034560717,4073.46,38,29692,0
8,10,2023,9,4219636876,10900.36,43,99037,0
15,3,2020,11,6135489967,13176.94,54,88840,0
3,1,2020,23,1667725950,720.69,28,64200,1
14,5,2024,13,7466256885,6024.95,35,67415,1
17,4,2024,24,9956771422,11458.4,49,28074,0
4,10,2022,4,8937964521,6878.29,22,25549,1
18,8,2021,20,7761419891,4082.06,19,39963,1
8,1,2023,17,6693774067,3375.1,38,62265,0
4,10,2022,4,6654838440,2059.62,27,26061,0
2,1,2024,2,3764560702,12871.23,43,68226,1
30,12,2023,22,1267357092,8672.8,58,38810,0
6,4,2024,4,9605258817,1238.14,18,70006,1
22,8,2023,23,7248986016,5800.45,36,32800,0
10,5,2021,16,2639443001,5579.23,43,85476,1
4,2,2022,18,8858239600,2807.91,22,79460,1
22,6,2023,18,5448378835,6589.06,54,67767,1
29,5,2020,24,4928962931,5048.28,27,38054,1
31,2,2020,20,1667179476,5192.88,38,85319,0
18,11,2023,11,9293813767,11111.5,49,55397,0
26,11,2023,24,5919455940,3426.62,43,23233,1
12,11,2023,8,3576336391,9663.71,22,35068,1
2,3,2020,0,4611479543,8602.68,14,75727,0
10,9,2020,17,5326578761,8564.58,4,80453,0
30,7,2023,20,8333760278,9978.81,40,35832,1
4,7,2024,3,2177136769,8270.89,38,96242,1
14,11,2024,9,8084767960,13200.9,15,23682,1
31,6,2021,24,4211242867,10166.14,18,33383,1
16,8,2022,6,3189134568,8249.75,35,68160,1
15,4,2024,21,9331486150,12463.47,49,33666,0
8,8,2020,22,4677829003,9131.58,36,68817,1
14,4,2024,0,4533890932,4438.05,17,44642,0
23,8,2021,16,7304238798,3185.71,49,51830,0
28,9,2021,23,8936625521,2369.68,27,20234,0
25,3,2022,1,4368638701,13501.88,43,67616,1
30,3,2024,10,7330774358,10681.02,43,19221,0
8,11,2020,8,7096217206,14066.94,38,21410,0
21,2,2020,6,8549361882,9089.05,27,90055,0
16,10,2023,21,7659792623,7153.67,22,71413,0
13,3,2020,16,4069579655,989.78,43,11051,1
18,3,2022,16,7060503698,10107.47,38,85301,1
15,5,2022,1,4818521028,8774.91,48,86918,0
21,5,2020,5,4467879991,14854.11,35,88116,0
24,2,2020,13,2805478193,3663.47,27,66563,1
26,12,2023,5,3757215836,8007.99,16,54757,1
25,10,2020,1,2252884385,9799.26,46,87475,1
28,6,2023,0,5730250838,9704.41,43,61257,0
28,5,2023,9,4888210285,8463.27,27,10307,1
28,6,2020,20,4301743631,11676.23,43,66889,0
13,1,2021,4,3145861022,3154.22,22,78895,0
9,5,2021,1,7992457751,10911.85,24,45944,1
29,9,2023,21,9549783228,9334.05,43,48134,0
15,12,2020,15,2629907846,13451.52,18,37323,1
13,10,2021,24,9814912947,12723.2,22,81762,0
1,2,2020,1,6150596919,4795.69,27,97225,1
25,1,2020,9,5707403241,4215.94,43,35954,0
7,10,2020,1,7433874273,14726.63,22,65021,0
9,11,2024,15,7765879311,7956.25,38,99959,1
24,9,2020,15,6745041459,13605.67,48,89866,1
1,10,2024,18,5752188849,2541.83,35,80427,1
12,9,2023,6,6384607447,9678,24,14992,1
8,9,2021,21,5886134174,12166.92,22,11961,0
24,6,2021,11,3472993799,14216.19,18,22497,1
31,8,2021,23,7680343973,5126.37,27,42551,1
11,11,2021,14,6987561064,10902.22,22,86384,0
19,1,2021,7,9914731176,8128.31,16,65755,1
17,10,2021,5,8612509739,1003.37,22,23255,1
8,4,2021,9,8336036559,10381,24,14567,0
3,1,2023,2,3544744939,10382.44,43,58847,1
3,8,2020,18,8163674214,13966.04,24,58003,1
1,1,2022,16,1678244341,7509.96,24,30389,1
27,3,2024,6,8370978590,3530.74,46,54523,1
5,4,2022,20,2823493755,764,23,71576,1
10,8,2022,19,7598355883,6293.07,48,53919,1
7,6,2020,3,2088451340,4598.56,15,92103,0
26,10,2020,13,1764593278,11440.22,21,13358,1
9,12,2020,19,3355309907,5378.59,34,98535,0
28,7,2021,21,4346234626,14241.16,38,86524,0
7,8,2023,14,5739364064,14438.42,14,15698,0
9,2,2021,23,8890500982,9351.54,22,76809,0
8,10,2023,7,3438897771,13937.04,42,65805,1
12,11,2023,20,1676440439,11436.73,27,41349,1
2,8,2022,14,1493070776,8248.21,54,86777,1
1,3,2022,21,8492958504,2786.59,19,60248,0
16,7,2023,19,3632269266,6933.11,35,85033,1
23,3,2023,13,5938222942,8457.03,22,54041,1
23,7,2021,8,8953109912,12973.03,49,41954,1
30,11,2021,7,3638137950,7271.87,38,18002,0
24,12,2022,16,5090986113,13475.35,27,79783,0
5,2,2020,1,1887176334,10147.8,57,97234,1
3,10,2023,24,3931503487,2141.29,43,29738,0
12,6,2021,23,3734418047,14925.22,17,20703,0
8,3,2022,2,2061776424,7955.77,38,59422,1
22,3,2021,7,3888192491,5938.69,22,93106,0
27,9,2023,11,6476095325,9920.8,49,71899,0
3,7,2023,0,3732828653,1722.51,36,22392,1
1,5,2024,9,8939826021,9584.43,18,54724,0
3,12,2020,19,6347373609,7523.72,27,42299,0
5,10,2024,2,2137299367,6159.44,35,25641,0
15,7,2022,5,6309609791,14300,46,89534,0
14,9,2021,6,8177889853,7885.84,38,16305,0
3,1,2022,19,2303164815,3364.85,43,28782,0
1,7,2023,22,9199973149,6938.56,54,88257,0
5,6,2024,24,8803128620,13798.87,28,87963,0
26,10,2024,17,8497764905,2723.82,35,30566,1
23,12,2024,10,1590448250,3287.96,49,77766,1
31,9,2022,18,7393540226,294.14,22,16511,1
14,1,2023,4,9913704791,311.43,19,36177,1
7,4,2021,18,8076356748,12457.94,38,14765,0
27,9,2021,10,9316553056,11008.63,27,30354,1
9,4,2022,23,8947532977,5390.11,43,33929,1
15,10,2024,11,3641558507,10504.84,58,38820,0
15,3,2020,9,7376280671,5988.57,18,39523,0
26,9,2022,7,8197231317,14298.16,36,81088,0
10,2,2022,23,9621693986,14509.08,43,76163,0
28,4,2023,8,6963070680,5952.63,22,87525,0
13,6,2021,3,9233582985,12827.91,54,23780,1
19,2,2022,4,6492304283,11619.03,27,16589,0
31,8,2022,20,7978492533,4719,38,44812,1
7,8,2024,7,4311675207,3557.39,49,55939,1
17,1,2024,22,9911713382,6927.7,43,61493,0
20,12,2020,8,7251237690,11742.1,22,50953,1
29,3,2023,14,8846340348,14406.5,14,75785,1
4,10,2020,14,2996910242,11477.33,4,29309,0
30,9,2024,15,4390613411,12842.58,40,64195,1
5,5,2021,13,3587719238,9085.66,38,35901,1
23,6,2024,7,7410277083,12547.58,15,33576,1
7,4,2023,17,6664960824,11787.87,18,41508,0
13,10,2024,9,3522350258,5717.08,35,84711,0
15,2,2023,19,3874411194,8324.66,49,35464,0
11,11,2023,5,4733718208,12090.82,36,70281,1
29,8,2023,11,4785114633,786.25,17,26260,0
4,11,2023,1,1648413226,12140.38,49,45440,1
13,6,2023,6,4962256645,2750.53,27,66683,0
7,5,2021,15,6237589646,7768.79,43,51430,1
27,9,2020,2,6445015105,12143.3,43,11987,0
19,1,2022,12,4159967528,3881.93,38,35105,0
22,5,2020,2,1859704350,3762.53,27,88484,1
28,6,2023,17,7910976492,6101.19,22,23026,0
2,5,2021,10,2328524652,13430.18,43,78309,1
10,6,2024,7,1751330787,106.6,38,55927,0
13,6,2021,5,9263790068,13530.61,48,85414,0
30,7,2023,0,2112213216,2391.72,35,67535,1
25,4,2021,0,4264702295,14852.29,27,52946,1
21,11,2021,22,7616632966,14327.22,16,66561,1
6,8,2023,7,4475720459,7470.66,46,20377,0
28,7,2021,4,7780093485,7739.53,43,63592,1
28,9,2022,15,2364624013,7275.09,27,17347,0
12,7,2022,10,4245401315,9568.11,43,43776,1
12,3,2021,4,1862759864,1451.75,22,13783,1
20,3,2024,3,8330658446,586.01,24,65798,1
30,8,2023,5,8594118648,959.77,43,14298,1
30,5,2022,13,4829805283,6721.04,18,80204,1
11,4,2024,21,4924620394,4205.66,22,96207,1
26,8,2021,18,7670267052,9368.39,27,65161,0
23,6,2024,8,2358325545,14887.39,43,70652,1
28,2,2020,11,2273025932,5856.22,22,44484,0
25,4,2022,10,2101659394,8650.23,38,30922,1
7,12,2021,13,7561417630,6292.5,48,44028,1
30,11,2023,22,7010239714,12724.35,35,30316,1
1,4,2021,15,7470884283,13543.32,24,86996,0
1,6,2023,0,4679478798,13172.6,22,26968,0
25,6,2021,12,6625106185,14618.15,18,40266,1
27,1,2024,22,4643034589,510.04,27,34000,0
30,8,2024,20,1824336576,12613.26,22,24011,1
25,6,2024,20,1878326395,11301.41,16,12866,1
20,3,2020,12,7032308331,3507.55,22,15898,0
13,9,2023,1,2354982448,14349.17,24,28395,0
9,2,2024,3,7172069441,2307.85,43,49019,0
3,11,2020,5,1015544818,10225.29,24,14006,0
7,8,2023,22,5834101755,3450.86,24,44393,1
6,10,2021,4,1080185717,6527.57,46,20956,0
8,3,2020,24,5542782033,10815.48,23,60042,0
27,12,2022,2,3089251315,8493.54,48,16078,1
9,5,2020,0,7695450201,6469.78,15,39631,0
30,6,2020,3,4190300751,4962.44,21,72901,0
5,10,2023,24,5927986543,12610.93,34,79497,0
1,6,2021,19,4547947960,2242.83,38,51574,0
19,4,2022,1,1307958006,6508.53,14,41417,1
10,3,2024,4,7913948176,13565.99,22,98020,1
12,4,2024,2,7826828802,12703.16,42,93639,0
24,1,2020,8,1009981932,6074.03,27,75006,0
15,4,2023,19,4040494896,11470.31,54,49454,1
27,1,2023,5,3208186322,12365.1,19,11587,0
22,12,2024,17,9866518672,13344.42,35,64710,0
24,1,2022,5,3058437237,8213.14,22,96567,0
9,10,2021,18,6252718754,3146.47,49,85886,0
20,6,2022,11,4866003935,3904.11,38,28816,0
17,5,2021,24,8765056958,4505.85,27,95824,0
30,11,2024,10,8886390663,8947.66,57,39432,0
17,4,2021,1,7757189765,588.86,43,58617,0
26,11,2023,14,6773269045,9577.03,17,82373,0
20,3,2020,11,3642865202,5528.88,38,44217,1
12,1,2020,11,4649168385,4499.1,22,30884,1
30,6,2024,8,3432949773,13204.5,49,15454,1
7,2,2023,20,1540404539,6954.04,36,84960,0
2,8,2022,23,1202236470,1516.29,18,53618,0
3,10,2023,1,6074575078,12418.53,27,93948,1
17,5,2020,21,5567682808,809.85,35,72671,0
5,7,2020,2,7552510376,10928.56,46,57111,1
17,10,2023,11,5346608635,11631.2,38,49613,0
24,12,2023,15,4199112626,5353.78,43,95678,1
17,2,2020,20,9650907052,12389.34,54,69993,1
27,8,2022,23,8018877278,7783.33,28,18848,1
17,2,2024,0,3232141949,7003.08,35,88672,0
2,4,2024,20,9517588922,776.51,49,76125,1
2,1,2023,2,9882197071,4421.43,22,96444,0
28,5,2024,19,2285892936,13972.05,19,71602,0
22,9,2020,1,2760899947,5938.18,38,82045,0
23,1,2020,8,9856793302,8245.84,27,52222,0
5,9,2023,18,3793923271,8027.12,43,59223,0
1,11,2023,14,1907413225,8897.42,58,75333,0
1,8,2023,17,3617042460,1013.83,18,62732,0
19,6,2022,10,4243198441,5496.43,36,59420,1
30,7,2024,24,5040165105,10874.61,43,85504,1
2,3,2023,22,6190214224,3088.35,22,12462,1
21,1,2021,15,1663619533,3133.32,54,19460,0
12,5,2021,21,8672980908,250.35,27,19275,0
26,12,2020,16,4092504204,6618.48,38,23269,0
6,12,2024,4,5569482854,13252.74,49,75942,0
23,2,2023,11,8875842567,873.32,43,82920,1
4,5,2021,10,7326423208,2947.67,22,32553,0
23,8,2024,14,9617748579,4720.26,14,34366,1
11,11,2020,2,6606051858,11002.7,4,54036,0
24,9,2022,0,5626276409,9645.47,40,27369,1
27,2,2024,19,8893461201,6297.56,38,21795,0
17,12,2024,15,9601378469,11410.13,15,80021,1
31,3,2022,1,6152866450,9183.5,18,78154,0
6,3,2024,1,6313966773,13451.01,35,40143,1
24,1,2020,2,6702452119,12288.6,49,39425,0
5,8,2020,7,6631024439,3866.92,36,98209,1
20,6,2022,23,7795091485,4144.43,17,85139,1
2,12,2023,14,1932313234,1967.81,49,15368,0
6,8,2021,6,5414426894,5120.77,27,14621,1
22,11,2023,5,8117749541,14993.2,43,68829,0
11,9,2024,8,9098274888,6145.69,43,70294,0
31,5,2021,19,3987667681,3385.28,38,24719,0
16,12,2022,0,9614195167,11460.99,27,39227,1
16,3,2022,7,3447479568,8182.82,22,17566,1
1,5,2021,22,2143916683,2329.06,43,22306,0
9,5,2020,22,1816139356,5772.28,38,63822,0
28,5,2021,2,5407250205,6275.6,48,34042,1
27,3,2024,3,5310037315,11332.06,35,25086,1
6,11,2020,24,9601747501,408,27,27387,1
16,10,2022,14,8401557763,4108.39,16,37042,0
29,4,2021,5,2394062873,7812.18,46,99424,0
3,9,2023,14,7065874003,4105.82,43,61618,0
20,10,2023,20,3838135462,9463.67,27,28323,0
28,9,2024,2,3916020763,7279.83,43,28019,0
27,2,2023,24,6552676194,5489.48,22,85426,1
4,8,2021,20,1099023594,14243.21,24,50863,0
19,8,2021,20,3875965503,9519.18,43,20283,1
26,7,2023,13,2297259756,2036.13,18,28279,1
3,8,2021,19,7559189632,8445.37,22,56999,0
31,3,2024,13,2933802805,11732.9,27,72780,1
19,6,2020,3,1405146564,10656.5,43,32908,0
20,1,2024,11,9884898390,2664.13,22,71584,1
7,7,2024,16,1779496445,14589.06,38,60225,0
20,1,2021,6,9269492364,6787.32,48,47952,0
9,9,2020,8,2357442245,2469.47,35,47663,1
1,1,2021,2,9328188731,2784.92,24,71381,0
8,1,2022,12,7568887596,1563.7,22,57929,1
7,7,2021,14,2317317026,12072.42,18,19343,0
18,2,2021,17,1886674586,1918.25,27,86173,0
8,5,2021,18,4282163446,1964.37,22,49791,0
1,8,2020,0,5596215621,12772.03,16,39134,1
11,8,2021,5,5253618515,5234.6,22,57101,1
28,3,2020,22,2275415725,559.78,24,79443,0
25,7,2023,1,9928627195,873.24,43,67530,1
25,3,2022,23,3490127897,2218.34,24,56799,0
18,6,2020,13,6912797848,3279.56,24,14827,1
23,6,2023,5,4468949496,10010.68,46,72653,1
31,3,2020,13,2341666847,2444.16,23,23699,0
30,7,2020,3,6143639713,1871.23,48,15313,0
10,3,2022,20,9151820788,11494.32,15,23598,0
3,8,2024,7,2100473492,10098.72,21,38807,0
7,10,2024,2,2422788370,6586.33,34,80423,0
28,4,2020,18,6778441942,8284.72,38,79390,1
16,1,2021,13,4411289767,4748.56,14,55226,1
26,4,2023,19,8138420891,7289.26,22,69550,0
16,7,2021,16,1219263272,7649.42,42,90072,0
25,11,2021,24,4825347745,5869.84,27,13558,0
20,4,2020,7,6937941894,13607.93,54,85308,1
28,6,2020,23,3290363686,339.32,19,60113,0
17,9,2020,13,4661184131,11754.35,35,62999,0
2,1,2020,5,2056517374,1953.3,22,65878,1
1,5,2024,22,7497518574,11983.46,49,46343,1
16,11,2020,21,3800096782,9277.09,38,68219,1
30,7,2024,15,5916805827,12664.84,27,45186,1
12,1,2024,24,3601228804,1552.96,57,46966,0
5,4,2020,18,8138453035,8428.81,43,43769,1
5,6,2022,13,5237772323,7566.21,17,63218,1
27,2,2023,18,8009360361,10622.28,38,29229,0
23,10,2021,2,2828500841,8060.93,22,85209,0
9,5,2024,9,3414586186,8156.95,49,37877,0
9,11,2023,18,5744585442,6500.98,36,68001,1
3,10,2022,8,2148791893,4701.63,18,48084,0
19,1,2021,19,4580298201,7285.74,27,91780,1
16,6,2021,12,2051977770,1865.54,35,26806,1
16,6,2024,6,3357726209,14426.55,46,98635,1
3,4,2020,13,7367944414,10744.72,38,47034,0
20,8,2022,8,8000233782,14291.76,43,50317,1
24,4,2024,22,8688503164,3478.24,54,65468,0
22,8,2022,24,8169550622,13202.18,28,29094,0
24,8,2020,18,5909276240,12150.97,35,67796,0
1,5,2020,14,1024113655,10189.57,49,20589,1
24,4,2024,19,6811429804,9412.93,22,67221,1
20,12,2020,13,9025282880,4816.59,19,11657,1
11,2,2023,23,3806599152,12264.52,38,49531,0
17,11,2021,5,7416858598,7572.58,27,62227,1
8,3,2024,20,8214016993,1156.28,43,13164,1
4,3,2022,3,9933419445,4761.66,58,93973,1
6,4,2023,7,7734433028,14035.93,18,51247,1
8,4,2024,16,1999697424,12775.14,36,29601,1
20,10,2020,8,9207908202,14730.39,43,60599,0
30,11,2020,0,9160392135,9457.1,22,81545,0
3,11,2020,23,2020322234,3787.9,54,14552,0
16,5,2020,19,1786212772,2525.94,27,19417,0
30,4,2022,24,4032098531,2885.03,38,68579,1
25,11,2023,13,6749197897,394.96,49,78207,0
3,10,2021,10,6113897649,5921.16,43,82055,1
25,8,2022,20,3394286281,2952.27,22,88270,0
29,6,2022,2,7424277634,6233.67,14,13722,0
18,6,2021,8,8525821407,14031.42,4,80442,0
14,8,2021,13,8057830390,6515.05,40,50031,1
18,7,2020,8,2331089312,13181.97,38,89235,1
2,10,2022,3,5035548642,9122.02,15,31438,0
22,11,2024,3,9990721079,3782.26,18,68819,1
3,12,2021,7,5187369300,5402.24,35,53856,0
16,10,2021,1,3758602043,1350.4,49,43576,0
29,8,2023,8,6903838465,5068.59,36,51938,0
9,2,2024,13,5798017531,10195.36,17,59028,1
4,9,2024,21,6128891311,1174.46,49,69807,0
1,1,2021,8,1808076976,3160.48,27,59877,0
4,8,2020,23,5405464041,5783.47,43,53461,0
1,12,2023,22,4152921995,14732.54,43,50469,1
14,11,2024,15,6670499075,11794.44,38,93136,0
21,12,2021,16,9196090877,11028.95,27,30435,1
16,12,2024,15,7502403241,1831.25,22,94117,0
20,4,2023,11,1178985975,11736.84,43,24191,1
24,4,2023,2,5258640857,11800.51,38,94726,0
8,5,2022,10,7489373673,9056.43,48,37386,0
7,8,2021,13,9472512966,14856.39,35,41721,1
3,5,2023,17,1196228400,4946.28,27,64786,1
17,8,2022,20,8676999020,14124.96,16,23704,0
1,10,2022,20,9457419694,13729.49,46,66635,1
16,1,2024,4,6765896858,271.06,43,12123,0
12,12,2024,15,5966836739,6806.74,27,72993,0
27,10,2022,19,7750488633,14658.85,43,90122,0
19,9,2024,4,2363714525,1636.51,22,35416,1
22,6,2023,2,9403572720,8261.99,24,11814,0
23,3,2020,11,8375821355,14686.47,43,88537,1
22,8,2023,0,1343416755,8376.88,18,60258,0
14,9,2022,20,4567986970,2928.25,22,26508,1
30,6,2022,8,7387804776,8774.53,27,95166,1
6,11,2023,8,5055529447,3146.16,43,88916,0
6,7,2024,3,1563523147,7843.59,22,45699,1
13,1,2024,2,5639799686,1203.23,38,56335,0
19,5,2022,16,9046106984,9121.69,48,56806,0
22,5,2021,1,5266646438,7800.17,35,87853,0
8,10,2024,23,7283219215,11128.4,24,73768,0
27,4,2023,0,7302210968,9497.44,22,45739,0
27,6,2024,7,6135706921,8289.13,18,44785,1
2,7,2023,12,3457242236,10377.7,27,41980,0
21,9,2022,22,3051822337,2244.73,22,99335,1
30,1,2024,14,9624159841,8970.86,16,95016,1
1,6,2023,7,9698306885,2664.45,22,11609,0
28,7,2022,11,9569660480,13890.28,24,76253,1
15,3,2021,21,1404737891,1118.18,43,95481,0
1,8,2023,11,5719148279,6512.58,24,38141,1
5,5,2021,13,8590411491,10467.38,24,40009,1
28,9,2021,14,9000453532,6924.53,46,16782,1
29,5,2020,14,2718862671,1472.22,23,35933,0
16,9,2024,8,5602638462,8345.35,48,87154,1
19,10,2023,18,8600335238,9660.32,15,18307,0
4,4,2021,19,6044126627,10586.51,21,85874,1
3,9,2020,21,5835518485,5661.57,34,48346,1
17,5,2022,7,9351268015,8498.53,38,60772,1
17,10,2023,20,2382056878,6815.23,14,82084,1
12,9,2021,18,8558561542,10113.63,22,50149,0
28,3,2024,5,7398888086,8795,42,96700,0
30,4,2020,19,4225765764,7933.77,27,37526,1
29,9,2021,24,8459627832,3817.91,54,95712,1
14,10,2024,18,8589704638,130.08,19,78477,0
21,11,2021,3,2941201346,2693.82,35,15695,0
6,6,2023,22,9321585346,1844.28,22,49169,0
3,2,2023,6,4711000967,6791.36,49,57947,0
28,7,2023,3,8178915060,9222.65,38,57224,1
9,2,2020,21,9382996631,3274.97,27,55865,1
5,11,2023,11,5831206223,14091.95,57,35553,0
24,2,2024,12,3692685377,199.56,43,70410,0
29,11,2021,2,6948332818,11607.29,17,34816,0
17,1,2022,21,9418674767,9415.55,38,65026,0
14,11,2024,11,3319856345,5665.97,22,60705,0
21,11,2024,1,7392627176,852.29,49,71922,0
31,12,2023,23,8070423628,9449.55,36,83914,1
3,11,2020,1,5455745403,5845.64,18,11881,1
28,3,2021,22,4281025414,14050.38,27,49567,1
1,6,2020,8,6533856451,8175.65,35,57365,0
20,8,2021,0,2006571704,14100.81,46,89211,0
31,9,2021,7,3027149672,3385.21,38,80122,0
29,7,2020,22,5524416182,10913.32,43,35006,1
21,4,2024,5,3988187511,9297.01,54,51198,0
23,6,2021,5,4579630538,11117.18,28,32831,0
1,5,2020,21,1040483835,3298.55,35,26459,1
3,8,2021,24,4028528050,10008.42,49,42443,0
18,1,2022,17,4954409347,7520.8,22,52316,1
25,1,2024,16,3671589090,11168.09,19,74486,1
10,11,2023,11,2966877181,4972.97,38,15877,0
31,6,2021,5,3853338889,13361.85,27,49553,1
22,10,2022,7,7237602475,1356.09,43,14922,0
26,12,2023,18,1753003245,12127.12,58,14686,1
3,2,2023,9,9158622312,12933.66,18,42766,0
8,5,2021,0,9536731866,12277.06,36,89943,1
14,1,2020,24,1541724574,7739.62,43,42006,0
24,7,2021,12,2463231898,6631.94,22,41422,1
18,1,2022,16,2741772512,14944.31,54,22205,1
15,4,2023,2,9611296889,3514.66,27,96590,1
22,9,2021,7,3559751419,8248.45,38,33527,0
23,1,2020,13,9179320384,10093.07,49,28443,0
2,4,2021,2,9993690646,10542.93,43,26524,1
31,6,2024,15,5854779183,3139.97,22,38202,0
27,6,2020,12,9276854134,9844.51,14,75552,1
10,12,2022,19,4778812443,12293.71,4,56142,0
2,8,2023,23,8020827416,845.28,40,71692,1
26,1,2021,16,3043455061,13681.67,38,92384,0
17,7,2020,12,4677157432,539.61,15,30855,1
8,1,2024,5,3348384667,5403.97,18,93747,1
1,7,2020,16,5570472680,335.62,35,70372,1
9,3,2024,13,2885589077,1249.46,49,35095,1
11,11,2022,16,2928350865,13676.41,36,48724,0
22,8,2023,7,3390693651,5387.43,17,59241,1
16,3,2022,10,9357452304,6429.1,49,62003,0
7,1,2021,19,6359978903,3308.63,27,78379,0
29,8,2020,0,4244501431,8996.73,43,25972,1
10,3,2024,6,4854155145,8962.57,43,32927,0
23,2,2024,20,5052669772,5645.79,38,76630,0
26,1,2020,20,8050440156,5062.22,27,62347,0
3,3,2020,16,7029401918,13285.97,22,98860,1
18,2,2021,9,1448559674,5810.94,43,96210,0
25,2,2022,10,9762221654,7453.16,38,79518,0
24,6,2024,21,8214099431,4321.24,48,55283,1
13,12,2021,8,9479283326,11822.87,35,91326,1
28,1,2022,8,3114561761,6021.98,27,22205,0
26,2,2021,23,3513567397,7752.8,16,99874,1
7,6,2024,4,8085757187,3875.02,46,22748,0
25,3,2020,16,4402451321,14816.13,43,31097,0
4,4,2020,8,4055075451,4443.29,27,13092,0
13,1,2022,16,7707782254,11584.06,43,63311,1
20,8,2023,23,4525604753,6469.69,22,32692,0
1,7,2022,20,7013161022,3172.64,24,33862,1
8,7,2023,18,4560502799,12015.81,43,89507,1
14,3,2021,6,3743649628,5070.74,18,90152,0
16,10,2021,22,8198936125,12991.38,22,80469,1
14,10,2024,8,6250329585,13737.33,27,14926,1
12,3,2023,6,4134758743,12911.38,43,13969,1
19,2,2024,12,6590386692,621.62,22,45733,1
23,12,2020,10,2828684095,11831.86,38,79855,1
